"text","text_en","cmp_code","eu_code"
"Democrats believe we are stronger when we protect citizens’ right to vote, while stopping corporations’ outsized influence in elections.",NA,"403",NA
"We will fight to end the broken campaign finance system,",NA,"403",NA
"overturn the disastrous Citizens United decision,",NA,"403",NA
"restore the full power of the Voting Rights Act,",NA,"503",NA
"and return control of our elections to the American people.",NA,"201.1",NA
"Democrats believe that climate change poses a real and urgent threat to our economy, our national security, and our children’s health and futures,",NA,"501",NA
"and that Americans deserve the jobs and security that come from becoming the clean energy superpower of the 21st century.",NA,"416.2",NA
"Democrats believe we are stronger and safer when America brings the world together and leads with principle and purpose.",NA,"107",NA
"We believe we should strengthen our alliances, not weaken them.",NA,"107",NA
"We believe in the power of development and diplomacy.",NA,"107",NA
"We believe our military should be the best-trained, best-equipped fighting force in the world,",NA,"104",NA
"and that we must do everything we can to honor and support our veterans.",NA,"706",NA
"And we know that only the United States can mobilize common action on a truly global scale, to take on the challenges that transcend borders, from international terrorism to climate change to health pandemics.",NA,"107",NA
"Above all, Democrats are the party of inclusion.",NA,"503",NA
"We know that diversity is not our problem—it is our promise.",NA,"607.1",NA
"As Democrats, we respect differences of perspective and belief, and pledge to work together to move this country forward, even when we disagree.",NA,"607.1",NA
"With this platform, we do not merely seek common ground—we strive to reach higher ground.",NA,"607.1",NA
"We are proud of our heritage as a nation of immigrants.",NA,"602.2",NA
"We know that today’s immigrants are tomorrow’s teachers, doctors, lawyers, government leaders, soldiers, entrepreneurs, activists, PTA members, and pillars of our communities.",NA,"602.2",NA
"We believe in protecting civil liberties and guaranteeing civil rights and voting rights, women’s rights and workers’ rights, LGBT rights, and rights for people with disabilities.",NA,"503",NA
"We believe America is still, as Robert Kennedy said, “a great country, an unselfish country, and a compassionate country.”",NA,"601.1",NA
"These principles stand in sharp contrast to the Republicans,",NA,"305.1",NA
"who have nominated as the standard-bearer for their party and their candidate for President a man who seeks to appeal to Americans’ basest differences, rather than our better natures.",NA,"305.2",NA
"The stakes have been high in previous elections.",NA,"601.1",NA
"But in 2016, the stakes can be measured in human lives—in the number of immigrants who would be torn from their homes;",NA,"602.2",NA
"in the number of faithful and peaceful Muslims who would be barred from even visiting our shores;",NA,"503",NA
"in the number of allies alienated and dictators courted;",NA,"107",NA
"in the number of Americans who would lose access to health care and see their rights ripped away.",NA,"504",NA
"This election is about more than Democrats and Republicans.",NA,"601.1",NA
"It is about who we are as a nation, and who we will be in the future.",NA,"601.1",NA
"Two hundred and forty years ago, in Philadelphia, we started a revolution of ideas and of action that continues to this day.",NA,"601.1",NA
"Since then, our union has been tested many times, through bondage and civil war, segregation and depression, two world wars and the threat of nuclear annihilation.",NA,"601.1",NA
"Generations of Americans fought and marched and organized to widen the circle of opportunity and dignity—and we are fighting still.",NA,"601.1",NA
"Despite what some say, America is and has always been great—but not because it has been perfect.",NA,"601.1",NA
"What makes America great is our unerring belief that we can make it better.",NA,"601.1",NA
"We can and we will build a more just economy,",NA,"403",NA
"a more equal society,",NA,"503",NA
"and a more perfect union—because we are stronger together.",NA,"601.1",NA
"Raise Incomes and Restore Economic Security for the Middle Class",NA,"H",NA
"Democrats believe we must break down all the barriers holding Americans back",NA,"403",NA
"and restore the basic bargain that built America’s mighty middle class:",NA,"704",NA
"If you work hard and play by the rules, you can get ahead and stay ahead.",NA,"403",NA
"The system is not working when we have a rigged economy in which ordinary Americans work longer hours for lower wages,",NA,"403",NA
"while most new income and wealth goes to the top one percent.",NA,"403",NA
"Republican governors, legislatures, and their corporate allies have launched attack after attack on workers’ fundamental rights to organize and bargain collectively.",NA,"701",NA
"Too many Americans are living paycheck to paycheck,",NA,"503",NA
"and hallmarks of a middle class life—owning a home,",NA,"401",NA
"having access to affordable and quality childcare,",NA,"403",NA
"retiring with dignity",NA,"706",NA
"—feel out of reach.",NA,"403",NA
"It is no wonder so many Americans feel like the deck is stacked against them.",NA,"403",NA
"The Democratic Party believes that supporting workers through higher wages,",NA,"701",NA
"workplace protections,",NA,"701",NA
"policies to balance work and family,",NA,"701",NA
"and other investments will help rebuild the middle class for the 21st century.",NA,"403",NA
"Raising Workers’ Wages",NA,"H",NA
"Democrats believe that the current minimum wage is a starvation wage and must be increased to a living wage.",NA,"412",NA
"No one who works full time should have to raise a family in poverty.",NA,"701",NA
"We believe that Americans should earn at least $15 an hour",NA,"412",NA
"and have the right to form or join a union",NA,"701",NA
"and will work in every way we can—in Congress and the federal government, in states and with the private sector—to reach this goal.",NA,"701",NA
"We should raise the federal minimum wage to $15 an hour over time and index it,",NA,"412",NA
"give all Americans the ability to join a union regardless of where they work,",NA,"701",NA
"and create new ways for workers to have power in the economy so every worker can earn at least $15 an hour.",NA,"412",NA
"We applaud the approaches taken by states like New York and California.",NA,"301",NA
"We also support creating one fair wage for all workers by ending the sub-minimum wage for tipped workers and people with disabilities.",NA,"701",NA
"Democrats support a model employer executive order or some other vehicle to leverage federal dollars to support employers who provide their workers with a living wage,",NA,"701",NA
"good benefits,",NA,"701",NA
"and the opportunity to form a union without reprisal.",NA,"701",NA
"The one trillion dollars spent annually by the government on contracts, loans, and grants should be used to support good jobs that rebuild the middle class.",NA,"410",NA
"Protecting Workers’ Fundamental Rights",NA,"H",NA
"The Democratic Party believes that when workers are strong, America is strong.",NA,"701",NA
"Democrats will make it easier for workers, public and private, to exercise their right to organize and join unions.",NA,"701",NA
"We will fight to pass laws that direct the National Labor Relations Board to certify a union if a simple majority of eligible workers sign valid authorization cards,",NA,"701",NA
"as well as laws that bring companies to the negotiating table.",NA,"701",NA
"We support binding arbitration to help workers who have voted to join a union reach a first contract.",NA,"701",NA
"A major factor in the 40-year decline in the middle class is that the rights of workers to bargain collectively for better wages and benefits have been under attack at all levels.",NA,"701",NA
"Donald Trump would make matters worse by creating a race to the bottom where the middle class is fighting over fewer and fewer good-paying jobs.",NA,"701",NA
"In fact, Trump rejected some attempts by his own employees to unionize",NA,"305.2",NA
"and has personally hired union-busting firms to undermine workers’ rights.",NA,"305.2",NA
"Democrats believe so-called “right to work” laws are wrong for workers—such as teachers and other public employees who serve our communities every day—and wrong for America.",NA,"701",NA
"We will continue to vigorously oppose those laws and other efforts that would eliminate dues check-off procedures,",NA,"701",NA
"roll-back prevailing wage standards,",NA,"701",NA
"abolish fair share requirements,",NA,"701",NA
"restrict the use of voluntary membership payments for political purposes,",NA,"701",NA
"attack seniority, restrict due process protections,",NA,"701",NA
"and require annual recertification efforts.",NA,"701",NA
"We oppose legislation and lawsuits that would strike down laws protecting the rights of teachers and other public employees.",NA,"701",NA
"We will defend President Obama's overtime rule, which protects of millions of workers by paying them fairly for their hard work.",NA,"701",NA
"The Democratic Party believes consumers, workers, students, retirees, and investors who have been mistreated should never be denied their right to fight for fair treatment under the law.",NA,"503",NA
"That is why we will support efforts to limit the use of forced arbitration clauses in employment and service contracts, which unfairly strip consumers, workers, students, retirees, and investors of their right to their day in court.",NA,"403",NA
"Supporting Working Families",NA,"H",NA
"We will fight to secure equal pay for women, which will benefit all women and their families,",NA,"503",NA
"particularly women of color who are disproportionately impacted by discriminatory pay practices, and against other factors that contribute to the wage gap.",NA,"503",NA
"And we will combat the discrimination they face on and off the job.",NA,"503",NA
"While Donald Trump thinks it is “dangerous” for women to leave the home and paid family leave hurts our economy,",NA,"604",NA
"Democrats will make sure that the United States finally enacts national paid family and medical leave by passing a family and medical leave act that would provide all workers at least 12 weeks of paid leave to care for a new child or address a personal or family member’s serious health issue.",NA,"503",NA
"We will fight to allow workers the right to earn at least seven days of paid sick leave.",NA,"403",NA
"We will also encourage employers to provide paid vacation.",NA,"403",NA
"Our work and family policies must also help family caregivers.",NA,"503",NA
"We will ensure that family caregivers have the support, respite care, and training they need to support their loved ones.",NA,"506",NA
"We will create a strong stable paid caregiving workforce to help meet families' needs, by raising wages, improving access to training, and giving workers the opportunity to come together to make their voices heard in support of a stronger system.",NA,"506",NA
"We will address the conditions that make it hard for workers with unpredictable or inflexible schedules to meet caregiving responsibilities.",NA,"701",NA
"We will take steps to expand and strengthen the home care workforce.",NA,"506",NA
"We will increase investments  to make quality childcare more affordable,",NA,"506",NA
"boost wages for childcare workers,",NA,"503",NA
"and support the millions of people paying for, coordinating, or providing care for aging relatives or those with disabilities.",NA,"506",NA
"Helping More Workers Share in Near-Record Corporate Profits",NA,"H",NA
"Corporate profits are at near-record highs,",NA,"403",NA
"but workers have not shared through rising wages.",NA,"403",NA
"Profit-sharing is linked to higher pay and productivity.",NA,"403",NA
"That is why, working with business, labor, and other stakeholders,",NA,"405",NA
"we will incentivize companies to share profits with their employees on top of wages and pay increases,",NA,"403",NA
"while targeting the workers and businesses that need profit-sharing the most.",NA,"403",NA
"Expanding Access to Affordable Housing and Homeownership",NA,"H",NA
"Whereas the Republican Presidential nominee rooted for the housing crisis,",NA,"305.2",NA
"Democrats will continue to fight for those families who suffered the loss of their homes.",NA,"403",NA
"We will help those who are working toward a path of financial stability and will put sustainable home ownership into the reach of more families.",NA,"401",NA
"Democrats will also combat the affordable housing crisis and skyrocketing rents in many parts of the country,",NA,"403",NA
"which is leading too many families and workers to be pushed out of communities where they work.",NA,"403",NA
"We will preserve and increase the supply of affordable rental housing by expanding incentives to ease local barriers to building new affordable rental housing developments in areas of economic opportunity.",NA,"402",NA
"We will substantially increase funding for the National Housing Trust Fund to construct, preserve, and rehabilitate millions of affordable housing rental units.",NA,"409",NA
"Not only will this help address the affordable housing crisis, it will also create millions of good-paying jobs in the process.",NA,"701",NA
"Democrats believe that we should provide more federal resources to the people struggling most with unaffordable housing: low-income families, people with disabilities, veterans, and the elderly.",NA,"503",NA
"We will expand efforts to address the lingering effects of the foreclosure crisis through programs like the federal Neighborhood Stabilization Program.",NA,"409",NA
"We will also expand programs to prevent displacement of existing residents,",NA,"409",NA
"especially in communities of color;",NA,"503",NA
"create affordable and workforce housing;",NA,"403",NA
"and preserve neighborhood-serving nonprofit organizations and small businesses.",NA,"403",NA
"We will reinvigorate housing production programs, repair public housing, and increase funding for the housing choice voucher program and other rental assistance programs.",NA,"409",NA
"And we will fight for robust funding to end homelessness in our cities and counties once and for all, through targeted investments to provide the necessary outreach, social services, and housing options for all populations experiencing homelessness.",NA,"503",NA
"We will engage in a stronger, more coordinated, and better funded partnership among federal, state, and local governments to end chronic homelessness for millions of Americans.",NA,"503",NA
"We will build on and expand President Obama's promising initiatives to end veteran and family homelessness in our country.",NA,"503",NA
"We must make sure that everyone has a fair shot at homeownership.",NA,"401",NA
"We will keep the housing market robust and inclusive by supporting more first-time homebuyers and putting more Americans into the financial position to become sustainable homeowners;",NA,"403",NA
"preserving the 30-year fixed rate mortgage; modernizing credit scoring; clarifying lending rules; expanding access to housing counseling; defending and strengthening the Fair Housing Act;",NA,"403",NA
"and ensuring that regulators have the clear direction, resources, and authority to enforce those rules effectively.",NA,"403",NA
"We will prevent predatory lending by defending the Consumer Financial Protection Bureau (CFPB).",NA,"403",NA
"These steps are especially important because over the next decade most new households will be formed by families in communities of color, which typically have less generational wealth and fewer resources to put towards a down payment.",NA,"503",NA
"Protecting and Expanding Social Security",NA,"H",NA
"Democrats are proud to be the party that created Social Security, one of the nation’s most successful and effective programs.",NA,"504",NA
"Without Social Security, nearly half of America’s seniors would be living in poverty.",NA,"504",NA
"Social Security is more than just a retirement program.",NA,"504",NA
"It also provides important life insurance to young survivors of deceased workers and provides disability insurance protection.",NA,"503",NA
"We will fight every effort to cut, privatize, or weaken Social Security, including attempts to raise the retirement age, diminish benefits by cutting cost-of-living adjustments, or reducing earned benefits.",NA,"504",NA
"Democrats will expand Social Security so that every American can retire with dignity and respect,",NA,"504",NA
"including women who are widowed or took time out of the workforce to care for their children, aging parents, or ailing family members.",NA,"503",NA
"The Democratic Party recognizes that the way Social Security cost-of- living adjustments are calculated may not always reflect the spending patterns of seniors, particularly the disproportionate amount they spend on health care expenses.",NA,"504",NA
"We are committed to exploring alternatives that could better and more equitably serve seniors.",NA,"504",NA
"We will make sure Social Security’s guaranteed benefits continue for generations to come by asking those at the top to pay more,",NA,"504",NA
"and will achieve this goal by taxing some of the income of people above $250,000.",NA,"403",NA
"The Democratic Party is also committed to providing all necessary financial support for the Social Security Administration so that it can provide timely benefits and high-quality service for those it serves.",NA,"504",NA
"Our plan contrasts starkly with Donald Trump.",NA,"305.2",NA
"He has referred to Social Security as a “Ponzi scheme” and has called for privatizing it as well as increasing the retirement age.",NA,"504",NA
"Ensuring a Secure and Dignified Retirement",NA,"H",NA
"Democrats believe it should be easier for Americans to save for retirement and prepare for unforeseen risks and expenses.",NA,"706",NA
"We will defend the right of workers to collect their defined benefit pensions and make sure workers get priority and protection when pension plans are in distress.",NA,"701",NA
"Democrats will also fight to enact legislation to make sure that the earned pension benefits of Americans will not be cut,",NA,"403",NA
"and will pay for it by closing tax loopholes that benefit millionaires and billionaires.",NA,"403",NA
"We will fight against any attempt by Republicans in Congress or on Wall Street to roll back the Conflict of Interest Rule, which requires that retirement advisors put the best interests of their clients above their own financial gain.",NA,"403",NA
"Seniors should not have to choose between putting food on the table, keeping a roof over their heads, or buying the medication that they need to stay healthy.",NA,"706",NA
"We strongly support the Older Americans Act, which funds critical programs to help seniors remain independent in their own homes and communities.",NA,"504",NA
"We are also committed to fighting the immense problem of elder abuse, neglect, and exploitation.",NA,"503",NA
"Revitalizing Our Nation’s Postal Service",NA,"H",NA
"The United States Postal Service (USPS) is a national treasure.",NA,"504",NA
"That is why Democrats embrace a vibrant, public Postal Service that offers universal service, and reject any effort to privatize or marginalize it.",NA,"504",NA
"We are committed to eliminating the unsustainable mandate to “pre-fund” retiree health costs.",NA,"504",NA
"And we will work to restore service to appropriate levels, including overnight delivery of first-class mail and periodicals within the same metropolitan area, maintaining six-day and door-to-door delivery, and appointing members to the Board of Governors and the Postal Regulatory Commission who champion a strong public Postal Service.",NA,"504",NA
"Democrats also advocate for expanding postal services.",NA,"504",NA
"This includes offering basic financial services such as paycheck cashing and removing statutory restraints on services the USPS may offer.",NA,"504",NA
"It also includes promoting vote-by-mail to increase voter participation and to help address the scourge of voter suppression.",NA,"202.1",NA
"Create Good-Paying Jobs",NA,"H",NA
"Democrats know that nothing is more important than creating good-paying jobs that can support a middle-class life",NA,"701",NA
"—from nurses, firefighters, and teachers to construction workers, factory workers, and small business owners.",NA,"706",NA
"That is why we are committed to doing everything we can to build a full-employment economy, where everyone has a job that pays enough to raise a family and live in dignity with a sense of purpose.",NA,"701",NA
"Democrats will build strong, sustained, shared economic growth.",NA,"410",NA
"We know that when Americans come together, we can do amazing things.",NA,"606.1",NA
"In the last century, our leaders came together across the aisle to electrify the nation, build the Interstate Highway System, support groundbreaking research in medicine, science, and communications, and send a man to the moon.",NA,"606.1",NA
"When we are bold and ambitious, we can do big things and make our economy stronger for decades to come.",NA,"410",NA
"Building 21st Century Infrastructure",NA,"H",NA
"If we are serious about reversing the decline of the middle class, we need major federal investments to rebuild our crumbling infrastructure",NA,"411",NA
"and put millions of Americans back to work in decent paying jobs in both the public and private sectors.",NA,"701",NA
"The climate emergency",NA,"501",NA
"and the need to expand the middle class",NA,"704",NA
"demand that we make the most ambitious investment in American infrastructure since President Eisenhower created the interstate highway system.",NA,"411",NA
"We will put Americans to work updating and expanding our roads, bridges, public transit, airports, and passenger and freight rail lines.",NA,"411",NA
"We will build 21st century energy and water systems, modernize our schools, and continue to support the expansion of high-speed broadband networks.",NA,"411",NA
"We will protect communities from the impact of climate change and help them to mitigate its effects by investing in green and resilient infrastructure.",NA,"501",NA
"We will address the backlog of deferred maintenance in our four key public land management agencies.",NA,"501",NA
"And we will protect public health and safety by modernizing drinking and wastewater systems.",NA,"501",NA
"These investments will create secure, good-paying middle-class jobs today and will substantially increase demand for American-made steel and other products manufactured in the United States.",NA,"701",NA
"And by boosting economic growth in a fair and equitable way, and strengthening our long-term competitiveness, these investments will create many more jobs in the years to come.",NA,"701",NA
"Democrats will also create an independent, national infrastructure bank that will support critical infrastructure improvements.",NA,"411",NA
"This bank will provide loans and other financial assistance for investments in energy, water, broadband, transportation, and multi-modal infrastructure projects.",NA,"411",NA
"Democrats will continue to support the interest tax exemption on municipal bonds and will work to establish a permanent version of Build America Bonds as an additional tool to encourage infrastructure investment by state and local governments.",NA,"402",NA
"Furthermore, Democrats will fight to ensure resources and programs are adequately targeted to provide economic development, job training, and critical infrastructure investment in areas of the greatest need.",NA,"411",NA
"Fostering a Manufacturing Renaissance",NA,"H",NA
"Democrats believe one of the best ways to innovate, prosper, and create good-paying jobs is to make more in America, which is why we firmly support American manufacturing with a “Make it in America” plan.",NA,"701",NA
"We must revitalize hard-hit manufacturing communities;",NA,"701",NA
"create thriving hubs of manufacturing and innovation throughout the country;",NA,"701",NA
"and claw back tax breaks for companies that ship jobs overseas, using the proceeds to reinvest in communities and workers at home instead.",NA,"402",NA
"Democrats are proud of rescuing the auto industry from collapse, which saved more than a million jobs, and led the auto industry, which is at the heart of American manufacturing, to record sales.",NA,"402",NA
"Democrats will defend the Export-Import Bank, which supports good-paying jobs across the country and allows American workers and manufacturers to compete on a level playing field.",NA,"402",NA
"Donald Trump may talk tough, but he has consistently outsourced his own products.",NA,"305.2",NA
"American workers deserve better.",NA,"701",NA
"Creating Good-Paying Clean Energy Jobs",NA,"H",NA
"We must help American workers and businesses compete for jobs and investments in global clean energy, high-tech products, internet technology products, and advanced manufacturing and vehicles.",NA,"416.2",NA
"We must make American manufacturing more internationally competitive by making it the greenest and most efficient in the world, including by investing in industrial energy efficiency.",NA,"416.2",NA
"Pursuing Our Innovation Agenda: Science, Research, Education, and Technology",NA,"H",NA
"Democrats support ambitious public and private investments in science, technology, and research.",NA,"411",NA
"We are focused on creating good jobs in communities across America.",NA,"701",NA
"Entrepreneurship and innovation are fundamental to our future economic growth—in the information technology (IT) industry as well as energy, manufacturing, transportation, health, retail, services, and countless other sectors.",NA,"401",NA
"We will nurture the next generation of scientists, engineers, and entrepreneurs,",NA,"411",NA
"especially women and people of color,",NA,"503",NA
"to make sure America continues to out-compete and out-innovate the rest of the world with our bold innovation agenda.",NA,"411",NA
"New technologies are already transforming our economy, and they have the power to generate trillions in economic output.",NA,"411",NA
"We must harness these forces so that they create higher-paying jobs across the country,",NA,"701",NA
"bring more people into the workforce,",NA,"701",NA
"and reduce inequality.",NA,"503",NA
"To do this, we need to educate our people",NA,"506",NA
"and train our workforce;",NA,"411",NA
"support entrepreneurship",NA,"402",NA
"and promote inclusion in the digital economy;",NA,"503",NA
"attract and retain talented people from all over the world;",NA,"410",NA
"and invest in research and development, innovation hubs, as well as in getting ideas to market.",NA,"411",NA
"We also need to ensure that all students have the opportunity to learn computer science by the time they graduate from high school.",NA,"506",NA
"Democrats believe we must harness the promise of technological innovation to promote community participation",NA,"606.1",NA
"and enhance opportunities to achieve greater economic self-sufficiency for people with disabilities.",NA,"503",NA
"We will encourage technology transfer, entrepreneurship, and small business creation throughout the country and in all types of innovation sectors.",NA,"402",NA
"High-speed internet connectivity is not a luxury; it is a necessity for 21st century economic success, social mobility, education, health care, and public safety.",NA,"411",NA
"Despite considerable progress and private investment in the last eight years to close the digital divide, there is more work to do.",NA,"411",NA
"Democrats will finish the job of connecting every household in America to high-speed broadband, increase internet adoption, and help hook up anchor institutions so they can offer free WiFi to the public.",NA,"411",NA
"We will take action to help America widely deploy 5G technology—the next generation wireless service that will not only bring faster internet connections to underserved areas, but will enable the Internet of Things and a host of transformative technologies.",NA,"411",NA
"Democrats support a free and open internet at home and abroad, and will oppose any effort by Republicans to roll back the historic net neutrality rules that the Federal Communications Commission enacted last year.",NA,"201.1",NA
"Democrats value American innovation and believe it is one of our country’s great strengths.",NA,"411",NA
"We will protect the intellectual property rights of artists, creators, and inventors at home and abroad.",NA,"201.1",NA
"The entire nation prospers when we promote the unique and original artistic and cultural contributions of the women and men who create and preserve our nation’s heritage.",NA,"201.1",NA
"Democrats will fight against unfair theft of intellectual property and trade secrets.",NA,"201.1",NA
"We will increase access to global markets for American intellectual property and other digital trade by opposing quotas, discriminatory measures, and data localization requirements.",NA,"407",NA
"Pushing beyond the boundaries of what we know is core to who we are as Americans.",NA,"601.1",NA
"Democrats are immensely proud of all that the National Aeronautics and Space Administration (NASA) has done—through its achievements in science, technology and exploration—to better understand our place in the universe",NA,"411",NA
"and inspire and educate generations of young people in this country to pursue careers in science.",NA,"411",NA
"Space exploration is a reminder that our capacity for curiosity is limitless, and may be matched only by our ability to achieve great things if we work together.",NA,"411",NA
"Democrats believe in continuing the spirit of discovery that has animated NASA’s exploration of space over the last half century.",NA,"411",NA
"We will strengthen support for NASA and work in partnership with the international scientific community to launch new missions to space.",NA,"411",NA
"Supporting America’s Small Businesses",NA,"H",NA
"The Democratic Party will make it easier to start and grow a small business in America,",NA,"403",NA
"unlike Donald Trump, who has often stiffed small businesses—nearly bankrupting some—with his deceptive and reckless corporate practices.",NA,"403",NA
"By supporting small business and entrepreneurship, we can grow jobs faster in America.",NA,"403",NA
"We will cut the red tape that holds back small businesses and entrepreneurs.",NA,"402",NA
"We will open up access to credit because we know that small businesses are some of the best job creators in our country.",NA,"403",NA
"We will provide tax relief and tax simplification.",NA,"402",NA
"And we will expand access to new markets because every American small business should be able to tap new markets — whether across their city, across their state, or around the world.",NA,"402",NA
"Democrats will provide targeted funding and support for entrepreneurship and small business growth in underserved communities.",NA,"402",NA
"Democrats also realize the critical importance of small businesses as engines of opportunity for women, people of color, tribes, and people in rural America, and will work to nurture entrepreneurship.",NA,"503",NA
"Creating Jobs for America’s Young People",NA,"H",NA
"Democrats will make investments to spur the creation of millions of jobs for our young people.",NA,"701",NA
"Roughly one in ten Americans between the ages of 16 and 24 is unemployed, more than twice the national average.",NA,"503",NA
"The unemployment rates for African American, Latino, Asian American and Pacific Islander (AAPI), and American Indian teenager sand youth with disabilities are far too high.",NA,"503",NA
"That is why Democrats will provide direct federal funding for a range of local programs that will put young people to work and create new career opportunities.",NA,"503",NA
"Fight for Economic Fairness and Against Inequality",NA,"H",NA
"Democrats believe that today’s extreme levels of income and wealth inequality are bad for our people, bad for our businesses, and bad for our economy.",NA,"503",NA
"Our country depends on a thriving middle class to drive economic growth, but the middle class is shrinking.",NA,"706",NA
"Meanwhile, the top one-tenth of one percent of Americans now own almost as much wealth as the bottom 90 percent combined.",NA,"403",NA
"These trends create problems beyond insulting our sense of basic fairness.",NA,"503",NA
"Social mobility is far lower than most believe it to be.",NA,"403",NA
"Children who are born to families in the lowest fifth of earnings are more than 10 times more likely to remain there as adults than they are to earn as much as those in the top fifth.",NA,"503",NA
"Unless we invest in building a level playing field, we all lose.",NA,"503",NA
"Reining in Wall Street and Fixing our Financial System",NA,"H",NA
"To restore economic fairness, Democrats will fight against the greed and recklessness of Wall Street.",NA,"403",NA
"Wall Street cannot be an island unto itself, gambling trillions in risky financial instruments and making huge profits, all the while thinking that taxpayers will be there to bail them out again.",NA,"403",NA
"We must tackle dangerous risks in big banks and elsewhere in the financial system.",NA,"403",NA
"We must make Wall Street work for the job-creating, productive economy—including by making loans more affordable for small- and medium-sized businesses.",NA,"403",NA
"We need to prohibit Wall Street from picking and choosing which credit agency will rate its products as well as from imposing excessive fees on consumers.",NA,"403",NA
"And we must hold both individuals and corporations accountable when they break the law.",NA,"605.1",NA
"Democrats believe that no bank can be too big to fail and no executive too powerful to jail.",NA,"403",NA
"Democrats will support stronger criminal laws and civil penalties for Wall Street criminals who prey on the public trust.",NA,"605.1",NA
"We also support extending the statute of limitations for prosecuting major financial fraud, and providing the Department of Justice, the Securities and Exchange Commission, and the Commodity Futures Trading Commission more resources to prosecute wrongdoing.",NA,"605.1",NA
"“Equal Justice Under Law” will not just be words engraved on the entrance of the Supreme Court.",NA,"503",NA
"It will be the standard that applies to Wall Street and all Americans.",NA,"403",NA
"We will also vigorously implement, enforce, and build on President Obama’s landmark Dodd-Frank financial reform law, and we will stop dead in its tracks every Republican effort to weaken it.",NA,"403",NA
"We will stop Republican efforts to hamstring our regulators through budget cuts,",NA,"403",NA
"and we will ensure they have the resources and independence to fully enforce the law and hold both individuals and corporations accountable when they break the rules.",NA,"403",NA
"We will also continue to protect consumers and defend the CFPB from Republican attacks.",NA,"403",NA
"We oppose any efforts to change the CFPB’s structure from a single director to a partisan, gridlocked Commission and likewise oppose any efforts to remove the Bureau’s independent funding and subject it to the appropriations process.",NA,"403",NA
"Democrats will also continue to support the CFPB in enforcing foundational civil rights laws protecting against discrimination in consumer lending.",NA,"503",NA
"Democrats condemn predatory payday lending, and will protect consumers by defending the CFPB and implementing strong new regulations.",NA,"403",NA
